Boro-Block-Lot,Scaled Ratiness,BBLID
1-00007-7501,1,1000077501
1-00008-7501,,1000087501
1-00015-7501,,1000157501
1-00015-7502,,1000157502
1-00016-0020,,1000160020
1-00016-7501,,1000167501
1-00016-7502,,1000167502
1-00016-7503,,1000167503
1-00016-7504,,1000167504
1-00016-7505,,1000167505
1-00016-7506,,1000167506
1-00016-7507,,1000167507
1-00016-7508,,1000167508
1-00016-7509,,1000167509
1-00016-7510,,1000167510
1-00016-7513,,1000167513
1-00016-7514,,1000167514
1-00016-7515,,1000167515
1-00016-7516,,1000167516
1-00016-7518,,1000167518
1-00017-7502,,1000177502
1-00018-7501,,1000187501
1-00024-7501,,1000247501
1-00025-7501,,1000257501
1-00026-0014,,1000260014
1-00026-7501,,1000267501
1-00027-7501,,1000277501
1-00027-7502,,1000277502
1-00028-7501,,1000287501
1-00029-7501,,1000297501
1-00029-7503,,1000297503
1-00031-7501,,1000317501
1-00039-7501,,1000397501
1-00041-7501,0.066666667,1000417501
1-00041-7503,0.066666667,1000417503
1-00044-7501,0.066666667,1000447501
1-00052-7501,0.066666667,1000527501
1-00052-7502,0.066666667,1000527502
1-00053-7501,0.066666667,1000537501
1-00053-7502,0.066666667,1000537502
1-00055-0014,0.066666667,1000550014
1-00056-0004,0.066666667,1000560004
1-00065-0006,0.066666667,1000650006
1-00065-7501,0.066666667,1000657501
1-00068-7501,0.066666667,1000687501
1-00068-7502,0.066666667,1000687502
1-00069-0018,0.066666667,1000690018
1-00069-7502,0.066666667,1000697502
1-00072-7501,0.066666667,1000727501
1-00076-7501,0.066666667,1000767501
1-00076-7502,0.066666667,1000767502
1-00077-0001,0.066666667,1000770001
1-00078-7503,0.066666667,1000787503
1-00078-7504,0.066666667,1000787504
1-00078-7505,0.066666667,1000787505
1-00078-7506,0.066666667,1000787506
1-00078-7507,0.066666667,1000787507
1-00079-7502,0.066666667,1000797502
1-00079-7503,0.066666667,1000797503
1-00090-7501,0.066666667,1000907501
1-00090-7502,0.066666667,1000907502
1-00091-7502,0.066666667,1000917502
1-00095-7501,3.066666667,1000957501
1-00097-0026,0.066666667,1000970026
1-00097-7502,0.066666667,1000977502
1-00097-7503,0.066666667,1000977503
1-00097-7504,0.066666667,1000977504
1-00100-7501,0.066666667,1001007501
1-00106-7502,0.066666667,1001067502
1-00126-0013,0.066666667,1001260013
1-00132-7503,0.066666667,1001327503
1-00133-7504,0.066666667,1001337504
1-00133-7506,0.066666667,1001337506
1-00134-7503,0.066666667,1001347503
1-00134-7505,0.066666667,1001347505
1-00135-7501,0.066666667,1001357501
1-00135-7503,0.066666667,1001357503
1-00135-7504,0.066666667,1001357504
1-00136-7502,0.066666667,1001367502
1-00136-7505,0.2,1001367505
1-00137-7503,0.1,1001377503
1-00140-7501,#DIV/0!,1001407501
1-00140-7502,#DIV/0!,1001407502
1-00140-7503,#DIV/0!,1001407503
1-00140-7505,0.1,1001407505
1-00141-7502,0.066666667,1001417502
1-00141-7504,0.066666667,1001417504
1-00142-7502,0.066666667,1001427502
1-00143-7501,0.1,1001437501
1-00143-7502,0.1,1001437502
1-00144-7502,0.1,1001447502
1-00145-7501,#DIV/0!,1001457501
1-00145-7504,0.066666667,1001457504
1-00146-7501,0.066666667,1001467501
1-00146-7502,0.066666667,1001467502
1-00146-7503,0.066666667,1001467503
1-00147-7508,0.066666667,1001477508
1-00147-7509,0.066666667,1001477509
1-00150-7501,0.066666667,1001507501
1-00164-0029,0.066666667,1001640029
1-00171-7501,#DIV/0!,1001717501
1-00171-7502,#DIV/0!,1001717502
1-00172-7501,0.066666667,1001727501
1-00172-7502,0.066666667,1001727502
1-00172-7504,0.2,1001727504
1-00173-7501,0.1,1001737501
1-00173-7502,0.1,1001737502
1-00173-7503,#DIV/0!,1001737503
1-00175-0020,0.066666667,1001750020
1-00175-7503,#DIV/0!,1001757503
1-00175-7504,0.066666667,1001757504
1-00178-7502,#DIV/0!,1001787502
1-00179-0032,0.066666667,1001790032
1-00179-7503,3.066666667,1001797503
1-00179-7506,0.066666667,1001797506
1-00180-7502,0.066666667,1001807502
1-00180-7507,#DIV/0!,1001807507
1-00181-7501,0.066666667,1001817501
1-00181-7502,0.066666667,1001817502
1-00188-7501,0.066666667,1001887501
1-00188-7502,#DIV/0!,1001887502
1-00188-7503,0.1,1001887503
1-00188-7505,0.2,1001887505
1-00189-7501,0.066666667,1001897501
1-00189-7502,0.066666667,1001897502
1-00189-7507,0.066666667,1001897507
1-00189-7508,0.066666667,1001897508
1-00190-7501,0.066666667,1001907501
1-00190-7503,0.066666667,1001907503
1-00190-7504,0.066666667,1001907504
1-00190-7505,0.066666667,1001907505
1-00190-7506,0.066666667,1001907506
1-00193-7501,0.066666667,1001937501
1-00193-7505,0.066666667,1001937505
1-00193-7509,0.1,1001937509
1-00199-0032,0.066666667,1001990032
1-00202-7501,#DIV/0!,1002027501
1-00204-7501,1.9,1002047501
1-00205-0004,#DIV/0!,1002050004
1-00206-7501,0.1,1002067501
1-00208-7501,0.066666667,1002087501
1-00211-7501,0.1,1002117501
1-00212-7501,#DIV/0!,1002127501
1-00212-7503,0.1,1002127503
1-00214-7502,0.066666667,1002147502
1-00214-7503,#DIV/0!,1002147503
1-00215-7502,0.066666667,1002157502
1-00215-7504,0.2,1002157504
1-00215-7505,4.6,1002157505
1-00217-7501,0.066666667,1002177501
1-00217-7502,0.066666667,1002177502
1-00218-0006,#DIV/0!,1002180006
1-00218-7501,0.066666667,1002187501
1-00219-7501,3.066666667,1002197501
1-00219-7502,0.1,1002197502
1-00219-7503,0.066666667,1002197503
1-00219-7504,0.066666667,1002197504
1-00220-7502,0.1,1002207502
1-00220-7503,0.1,1002207503
1-00222-7501,0.066666667,1002227501
1-00222-7502,0.066666667,1002227502
1-00223-0027,#DIV/0!,1002230027
1-00225-7501,0.066666667,1002257501
1-00225-7502,0.2,1002257502
1-00228-7501,0.1,1002287501
1-00228-7502,0.2,1002287502
1-00230-7503,0.066666667,1002307503
1-00230-7506,0.2,1002307506
1-00231-7501,0.066666667,1002317501
1-00234-7501,0.066666667,1002347501
1-00235-7501,0.1,1002357501
1-00236-7501,#DIV/0!,1002367501
1-00236-7502,0.2,1002367502
1-00237-0017,#DIV/0!,1002370017
1-00237-0027,#DIV/0!,1002370027
1-00238-7503,0.1,1002387503
1-00239-7501,#DIV/0!,1002397501
1-00271-0042,#DIV/0!,1002710042
1-00271-0065,0.066666667,1002710065
1-00273-7501,0.066666667,1002737501
1-00273-7502,0.2,1002737502
1-00274-7501,0.066666667,1002747501
1-00274-7502,0.1,1002747502
1-00274-7503,0.1,1002747503
1-00276-7501,0.066666667,1002767501
1-00276-7502,0.066666667,1002767502
1-00277-0020,0.066666667,1002770020
1-00277-0043,0.066666667,1002770043
1-00277-7501,0.066666667,1002777501
1-00277-7502,0.066666667,1002777502
1-00277-7503,#DIV/0!,1002777503
1-00283-0059,#DIV/0!,1002830059
1-00283-7502,0.066666667,1002837502
1-00284-0019,0.066666667,1002840019
1-00284-0026,0.066666667,1002840026
1-00284-7501,#DIV/0!,1002847501
1-00284-7502,0.066666667,1002847502
1-00284-7503,0.1,1002847503
1-00285-0016,0.066666667,1002850016
1-00292-0021,#DIV/0!,1002920021
1-00292-0022,#DIV/0!,1002920022
1-00292-7501,0.066666667,1002927501
1-00293-7501,0.1,1002937501
1-00294-0024,0.066666667,1002940024
1-00297-0016,0.066666667,1002970016
1-00297-0018,0.066666667,1002970018
1-00297-7501,0.066666667,1002977501
1-00297-7502,0.066666667,1002977502
1-00297-7503,0.066666667,1002977503
1-00298-0025,0.066666667,1002980025
1-00298-7501,#DIV/0!,1002987501
1-00298-7502,0.066666667,1002987502
1-00298-7503,0.2,1002987503
1-00299-0026,0.066666667,1002990026
1-00299-0030,0.066666667,1002990030
1-00303-7501,0.066666667,1003037501
1-00309-7501,0.1,1003097501
1-00310-7503,0.2,1003107503
1-00343-7501,0.1,1003437501
1-00345-7501,0.1,1003457501
1-00345-7502,0.2,1003457502
1-00346-0001,#DIV/0!,1003460001
1-00349-0018,0.066666667,1003490018
1-00349-7501,0.066666667,1003497501
1-00350-0001,0.066666667,1003500001
1-00350-0016,0.066666667,1003500016
1-00350-0020,0.066666667,1003500020
1-00350-0035,#DIV/0!,1003500035
1-00350-0067,3.066666667,1003500067
1-00350-7501,0.066666667,1003507501
1-00353-7501,0.066666667,1003537501
1-00354-7501,0.066666667,1003547501
1-00375-7501,0.066666667,1003757501
1-00384-7503,0.066666667,1003847503
1-00384-7505,9.2,1003847505
1-00385-0022,0.066666667,1003850022
1-00385-0050,0.066666667,1003850050
1-00385-0054,0.1,1003850054
1-00385-7501,0.1,1003857501
1-00386-0010,0.066666667,1003860010
1-00386-7501,0.066666667,1003867501
1-00389-7501,0.066666667,1003897501
1-00390-0020,0.066666667,1003900020
1-00390-7501,0.066666667,1003907501
1-00390-7502,0.066666667,1003907502
1-00391-0059,0.066666667,1003910059
1-00392-0037,#DIV/0!,1003920037
1-00392-7501,#DIV/0!,1003927501
1-00392-7502,#DIV/0!,1003927502
1-00393-0011,0.066666667,1003930011
1-00393-0019,#DIV/0!,1003930019
1-00393-7501,#DIV/0!,1003937501
1-00394-7502,0.066666667,1003947502
1-00394-7503,0.066666667,1003947503
1-00396-7501,0.2,1003967501
1-00397-0007,0.066666667,1003970007
1-00397-0063,#DIV/0!,1003970063
1-00397-7501,0.066666667,1003977501
1-00398-0015,#DIV/0!,1003980015
1-00398-0025,0.066666667,1003980025
1-00398-0026,0.066666667,1003980026
1-00398-0061,0.066666667,1003980061
1-00398-7501,0.066666667,1003987501
1-00399-7501,0.066666667,1003997501
1-00400-0001,#DIV/0!,1004000001
1-00402-0029,#DIV/0!,1004020029
1-00405-0013,#DIV/0!,1004050013
1-00405-0014,0.066666667,1004050014
1-00405-7503,0.066666667,1004057503
1-00405-7504,0.066666667,1004057504
1-00406-0008,0.066666667,1004060008
1-00406-0011,0.066666667,1004060011
1-00406-7501,#DIV/0!,1004067501
1-00407-0006,0.066666667,1004070006
1-00407-0026,3.066666667,1004070026
1-00407-0029,0.066666667,1004070029
1-00407-7501,0.066666667,1004077501
1-00407-7502,#DIV/0!,1004077502
1-00408-7501,0.1,1004087501
1-00410-0010,0.066666667,1004100010
1-00411-0075,#DIV/0!,1004110075
1-00411-7501,0.066666667,1004117501
1-00411-7502,0.1,1004117502
1-00411-7503,6.066666667,1004117503
1-00411-7504,0.2,1004117504
1-00413-7501,0.066666667,1004137501
1-00413-7502,0.066666667,1004137502
1-00414-0018,0.066666667,1004140018
1-00414-7501,0.066666667,1004147501
1-00416-7502,0.066666667,1004167502
1-00418-0032,0.066666667,1004180032
1-00418-7501,0.066666667,1004187501
1-00419-7501,3.066666667,1004197501
1-00420-0045,0.066666667,1004200045
1-00420-7501,#DIV/0!,1004207501
1-00421-0080,0.066666667,1004210080
1-00421-7502,0.066666667,1004217502
1-00422-0056,0.066666667,1004220056
1-00422-0057,0.066666667,1004220057
1-00422-7501,0.066666667,1004227501
1-00425-7501,0.066666667,1004257501
1-00425-7502,0.1,1004257502
1-00432-7501,0.066666667,1004327501
1-00434-7501,#DIV/0!,1004347501
1-00434-7504,0.066666667,1004347504
1-00437-0009,0.066666667,1004370009
1-00437-7502,#DIV/0!,1004377502
1-00438-7502,0.066666667,1004387502
1-00440-0027,0.066666667,1004400027
1-00440-0051,0.066666667,1004400051
1-00440-7502,0.066666667,1004407502
1-00440-7503,0.066666667,1004407503
1-00441-7501,#DIV/0!,1004417501
1-00441-7503,#DIV/0!,1004417503
1-00443-7502,0.066666667,1004437502
1-00444-7501,0.066666667,1004447501
1-00446-7501,0.066666667,1004467501
1-00446-7502,0.066666667,1004467502
1-00447-0051,0.066666667,1004470051
1-00447-7501,#DIV/0!,1004477501
1-00451-7502,0.066666667,1004517502
1-00453-7501,#DIV/0!,1004537501
1-00459-0029,#DIV/0!,1004590029
1-00459-7502,0.066666667,1004597502
1-00462-7501,0.066666667,1004627501
1-00463-7501,0.066666667,1004637501
1-00464-0036,0.066666667,1004640036
1-00464-0046,0.066666667,1004640046
1-00464-7501,0.066666667,1004647501
1-00464-7502,0.066666667,1004647502
1-00464-7503,#DIV/0!,1004647503
1-00465-7501,0.066666667,1004657501
1-00466-7501,0.066666667,1004667501
1-00468-0001,0.066666667,1004680001
1-00469-7501,0.066666667,1004697501
1-00469-7502,0.066666667,1004697502
1-00470-7501,1.266666667,1004707501
