Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-00007-7501,No,0735-R1,1 COENTIES SLIP,FINANCIAL,R9-CONDOMINIUM,42,1920,36500,"$1,332,615 ",$37 ,"$342,005 ",$9 ,"$990,610 ","$7,300,000 ",$200 ,NA,1-00007-7501,1000077501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00008-7501,No,1822-R1,39 WHITEHALL STREET,FINANCIAL,R4-CONDOMINIUM,78,1985,126420,"$6,633,257 ",$52 ,"$1,762,295 ",$14 ,"$4,870,962 ","$30,690,000 ",$243 ,NA,1-00008-7501,1000087501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00015-7501,No,1025-R1,17 BATTERY PLACE,FINANCIAL,RR-CONDOMINIUM,500,NA,554174,"$17,310,000 ",$31 ,"$3,543,000 ",$6 ,"$13,767,000 ","$90,970,000 ",$164 ,NA,1-00015-7501,1000157501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00015-7502,No,1557-R1,20 WEST STREET,FINANCIAL,R4-CONDOMINIUM,282,1930,249076,"$11,776,313 ",$47 ,"$2,784,670 ",$11 ,"$8,991,643 ","$67,556,006 ",$271 ,NA,1-00015-7502,1000157502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-0020,NA,NA,70 BATTERY PLACE,TRIBECA,D8-ELEVATOR,210,1998,230766,"$6,465,883 ",$28 ,"$2,122,314 ",$9 ,"$4,343,569 ","$31,269,000 ",$136 ,0,1-00016-0020,1000160020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7501,No,0308-R1,377 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,239,1985,219495,"$10,004,582 ",$46 ,"$2,783,197 ",$13 ,"$7,221,385 ","$54,320,996 ",$247 ,NA,1-00016-7501,1000167501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7502,No,0313-R1,320 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,133,1986,139719,"$5,127,687 ",$37 ,"$1,497,788 ",$11 ,"$3,629,899 ","$26,737,996 ",$191 ,NA,1-00016-7502,1000167502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7503,No,0385-R1,250 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,109,1985,105000,"$4,365,900 ",$42 ,"$1,273,650 ",$12 ,"$3,092,250 ","$22,210,281 ",$212 ,NA,1-00016-7503,1000167503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7504,No,0360-R1,300 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,107,1986,87479,"$3,637,377 ",$42 ,"$1,061,120 ",$12 ,"$2,576,257 ","$19,449,002 ",$222 ,NA,1-00016-7504,1000167504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7505,No,0371-R1,380 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,247,1987,255845,"$11,246,946 ",$44 ,"$2,440,761 ",$10 ,"$8,806,185 ","$66,316,999 ",$259 ,NA,1-00016-7505,1000167505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7506,No,0398-R1,280 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,121,1985,106129,"$4,115,683 ",$39 ,"$1,231,096 ",$12 ,"$2,884,587 ","$21,821,999 ",$206 ,NA,1-00016-7506,1000167506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7507,No,0450-R1,300 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,154,1986,126008,"$5,239,413 ",$42 ,"$1,528,477 ",$12 ,"$3,710,936 ","$28,015,990 ",$222 ,NA,1-00016-7507,1000167507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7508,No,0498-R1,200 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,546,1987,586224,"$24,375,194 ",$42 ,"$7,110,897 ",$12 ,"$17,264,297 ","$130,154,990 ",$222 ,NA,1-00016-7508,1000167508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7509,No,0621-R1,21 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,182,1988,208281,"$8,077,137 ",$39 ,"$2,416,060 ",$12 ,"$5,661,077 ","$42,824,998 ",$206 ,NA,1-00016-7509,1000167509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7510,No,0779-R1,99 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,293,1988,341489,"$13,591,262 ",$40 ,"$4,309,591 ",$13 ,"$9,281,671 ","$70,161,999 ",$205 ,NA,1-00016-7510,1000167510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7513,No,1217-R1,25 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,117,2003,267723,"$12,202,814 ",$46 ,"$3,394,728 ",$13 ,"$8,808,086 ","$62,110,366 ",$232 ,NA,1-00016-7513,1000167513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7514,No,1623-R1,30 WEST STREET,TRIBECA,R4-CONDOMINIUM,234,2006,431824,"$18,041,607 ",$42 ,"$5,298,480 ",$12 ,"$12,743,127 ","$89,682,996 ",$208 ,NA,1-00016-7514,1000167514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7515,No,1848-R1,225 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,304,1985,257848,"$11,752,712 ",$46 ,"$3,269,513 ",$13 ,"$8,483,199 ","$63,811,996 ",$247 ,NA,1-00016-7515,1000167515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7516,No,1858-R1,1 RIVER TERRACE,TRIBECA,R4-CONDOMINIUM,256,2006,434398,"$19,799,861 ",$46 ,"$5,508,167 ",$13 ,"$14,291,694 ","$100,582,005 ",$232 ,NA,1-00016-7516,1000167516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00016-7518,No,2198-R1,333 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,174,1985,237725,"$10,051,013 ",$42 ,"$2,498,490 ",$11 ,"$7,552,523 ","$57,048,005 ",$240 ,NA,1-00016-7518,1000167518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00017-7502,No,1192-R1,33 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,13,1920,37236,"$1,545,666 ",$42 ,"$439,012 ",$12 ,"$1,106,654 ","$8,355,001 ",$224 ,NA,1-00017-7502,1000177502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00018-7501,No,1741-R1,13 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,452,1956,316810,"$14,551,083 ",$46 ,"$3,760,535 ",$12 ,"$10,790,548 ","$81,144,002 ",$256 ,NA,1-00018-7501,1000187501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00024-7501,No,1912-R1,40 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,162,1982,231300,"$9,779,364 ",$42 ,"$2,430,963 ",$11 ,"$7,348,401 ","$43,229,973 ",$187 ,NA,1-00024-7501,1000247501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00025-7501,No,1957-R1,15 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,320,2005,477747,"$19,864,720 ",$42 ,"$5,795,071 ",$12 ,"$14,069,649 ","$106,168,339 ",$222 ,NA,1-00025-7501,1000257501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00026-0014,NA,NA,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,377214,"$13,406,186 ",$36 ,"$4,692,542 ",$12 ,"$8,713,644 ","$64,398,000 ",$171 ,0.23,1-00026-0014,1000260014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00026-7501,No,1480-R1,15 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,382,1914,648926,"$27,436,591 ",$42 ,"$6,820,212 ",$11 ,"$20,616,379 ","$155,560,004 ",$240 ,NA,1-00026-7501,1000267501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00027-7501,No,1424-R1,55 WALL STREET,FINANCIAL,R4-CONDOMINIUM,107,1836,159544,"$7,798,511 ",$49 ,"$1,973,559 ",$12 ,"$5,824,952 ","$43,678,004 ",$274 ,NA,1-00027-7501,1000277501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00027-7502,No,1991-R1,20 EXCHANGE PLACE,FINANCIAL,RR-CONDOMINIUM,350,1929,346789,"$13,511,000 ",$39 ,"$3,172,000 ",$9 ,"$10,339,000 ","$78,272,000 ",$226 ,NA,1-00027-7502,1000277502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00028-7501,No,1590-R1,82 BEAVER STREET,FINANCIAL,R4-CONDOMINIUM,126,1987,96902,"$3,271,412 ",$34 ,"$995,184 ",$10 ,"$2,276,228 ","$16,895,998 ",$174 ,NA,1-00028-7501,1000287501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
